aligned_name,TAXON_ID,taxon_name,COMMON_NAME,TaxaGroup,TAXON_TYPE,taxon_rank,Extinction_Risk,FFG_Status,Sci_Name_Alt
Calidris acuminata,10163,Calidris acuminata,Sharp-tailed Sandpiper,Birds,Waders,Species,NotListed,NotListed,Calidris acuminata
Acanthiza apicalis,10476,Acanthiza apicalis,Inland Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza apicalis
Calidris ruficollis,10162,Calidris ruficollis,Red-necked Stint,Birds,Waders,Species,NotListed,NotListed,Calidris ruficollis
Calidris melanotos,10978,Calidris melanotos,Pectoral Sandpiper,Birds,Waders,Species,NotListed,NotListed,Calidris melanotos
Calidris ferruginea,10161,Calidris ferruginea,Curlew Sandpiper,Birds,Waders,Species,Australia,Critically Endangered,Calidris ferruginea
Calidris canutus,10164,Calidris canutus,Red Knot,Birds,Waders,Species,Australia,Endangered,Calidris canutus
Calidris alba,10166,Calidris alba,Sanderling,Birds,Waders,Species,NotListed,NotListed,Calidris alba
Calidris subminuta,10965,Calidris subminuta,Long-toed Stint,Birds,Waders,Species,NotListed,NotListed,Calidris subminuta
Limnodynastes dumerilii,13058,Limnodynastes dumerilii,Southern Bullfrog (ssp. unknown),Amphibians,Amphibians,Species,NotListed,NotListed,Limnodynastes dumerilii
Limnodynastes tasmaniensis,13063,Limnodynastes tasmaniensis,Spotted Marsh Frog (race unknown),Amphibians,Amphibians,Species,NotListed,NotListed,Limnodynastes tasmaniensis
Limnodynastes peronii,13061,Limnodynastes peronii,Striped Marsh Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Limnodynastes peronii
Ctenotus robustus,12375,Ctenotus robustus,Large Striped Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenotus robustus
Limnodynastes dumerilii dumerilii,63913,Limnodynastes dumerilii dumerilii,Pobblebonk Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Limnodynastes dumerilii
Ctenotus orientalis,12936,Ctenotus orientalis,Eastern Striped Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenotus orientalis
Ctenotus taeniolatus,12386,Ctenotus taeniolatus,Copper-tailed Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenotus taeniolatus
Ctenotus regius,12374,Ctenotus regius,Regal Striped Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenotus regius
Limnodynastes dumerilii insularis,63914,Limnodynastes dumerilii insularis,Pobblebonk Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Limnodynastes dumerilii
Ctenotus brachyonyx,12342,Ctenotus brachyonyx,Murray Striped Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenotus brachyonyx
Ctenotus taeniatus,62933,Ctenotus taeniatus,Brooks's Striped Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Ctenotus taeniatus
Limnodynastes dumerilii variegatus,63915,Limnodynastes dumerilii variegatus,Pobblebonk Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Limnodynastes dumerilii
Falco berigora,10239,Falco berigora,Brown Falcon,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Falco berigora
Falco cenchroides,10240,Falco cenchroides,Nankeen Kestrel,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Falco cenchroides
Falco peregrinus,10237,Falco peregrinus,Peregrine Falcon,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Falco peregrinus
Falco longipennis,10235,Falco longipennis,Australian Hobby,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Falco longipennis
Falco subniger,10238,Falco subniger,Black Falcon,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Falco subniger
Pseudemoia entrecasteauxii,12994,Pseudemoia entrecasteauxii,Southern Grass Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Pseudemoia entrecasteauxii
Pseudemoia spenceri,12541,Pseudemoia spenceri,Spencer's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Pseudemoia spenceri
Pseudemoia form cryodoma/pagenstecheri,12948,Pseudemoia form cryodoma/pagenstecheri,Grass skink FORM (P.pag/cry),Reptiles,Reptiles,Species,NotListed,NotListed,Pseudemoia cryodoma
Pachycephala rufiventris,10401,Pachycephala rufiventris,Rufous Whistler,Birds,Passerine birds,Species,NotListed,NotListed,Pachycephala rufiventris
Pachycephala pectoralis,10398,Pachycephala pectoralis,Golden Whistler,Birds,Passerine birds,Species,NotListed,NotListed,Pachycephala pectoralis
Petroica boodang,10380,Petroica boodang,Scarlet Robin,Birds,Passerine birds,Species,NotListed,NotListed,Petroica boodang
Macropus giganteus,11265,Macropus giganteus,Eastern Grey Kangaroo,Mammals,Mammals,Species,NotListed,NotListed,Macropus giganteus
Petroica phoenicea,10382,Petroica phoenicea,Flame Robin,Birds,Passerine birds,Species,NotListed,NotListed,Petroica phoenicea
Artamus cyanopterus,10547,Artamus cyanopterus,Dusky Woodswallow,Birds,Passerine birds,Species,NotListed,NotListed,Artamus cyanopterus
Petroica goodenovii,10381,Petroica goodenovii,Red-capped Robin,Birds,Passerine birds,Species,NotListed,NotListed,Petroica goodenovii
Artamus superciliosus,10545,Artamus superciliosus,White-browed Woodswallow,Birds,Passerine birds,Species,NotListed,NotListed,Artamus superciliosus
Petroica rosea,10384,Petroica rosea,Rose Robin,Birds,Passerine birds,Species,NotListed,NotListed,Petroica rosea
Eulamprus tympanum tympanum,62956,Eulamprus tympanum tympanum,Southern Water Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Eulamprus tympanum
Artamus personatus,10544,Artamus personatus,Masked Woodswallow,Birds,Passerine birds,Species,NotListed,NotListed,Artamus personatus
Pachycephala olivacea,10405,Pachycephala olivacea,Olive Whistler,Birds,Passerine birds,Species,NotListed,NotListed,Pachycephala olivacea
Eulamprus heatwolei,12957,Eulamprus heatwolei,Yellow-bellied Water Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Eulamprus heatwolei
Petroica rodinogaster,10383,Petroica rodinogaster,Pink Robin,Birds,Passerine birds,Species,NotListed,NotListed,Petroica rodinogaster
Macropus fuliginosus,11263,Macropus fuliginosus,Western Grey Kangaroo,Mammals,Mammals,Species,NotListed,NotListed,Macropus fuliginosus
Artamus cinereus,10546,Artamus cinereus,Black-faced Woodswallow,Birds,Passerine birds,Species,NotListed,NotListed,Artamus cinereus
Neophema chrysostoma,10306,Neophema chrysostoma,Blue-winged Parrot,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Neophema chrysostoma
Pachycephala inornata,10403,Pachycephala inornata,Gilbert's Whistler,Birds,Passerine birds,Species,NotListed,NotListed,Pachycephala inornata
Macropus rufogriseus,11261,Macropus rufogriseus,Red-necked Wallaby,Mammals,Mammals,Species,NotListed,NotListed,Macropus rufogriseus
Artamus leucorynchus,10543,Artamus leucorynchus,White-breasted Woodswallow,Birds,Passerine birds,Species,NotListed,NotListed,Artamus leucoryn
Macropus rufus,11275,Macropus rufus,Red Kangaroo,Mammals,Mammals,Species,NotListed,NotListed,Macropus rufus
Charadrius ruficapillus,10143,Charadrius ruficapillus,Red-capped Plover,Birds,Waders,Species,NotListed,NotListed,Charadrius ruficapillus
Charadrius bicinctus,10140,Charadrius bicinctus,Double-banded Plover,Birds,Waders,Species,NotListed,NotListed,Charadrius bicinctus
Neophema elegans,10307,Neophema elegans,Elegant Parrot,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Neophema elegans
Charadrius leschenaultii,10141,Charadrius leschenaultii,Greater Sand Plover,Birds,Waders,Species,Australia,Vulnerable,Charadrius leschenaultii
Charadrius mongolus,10139,Charadrius mongolus,Lesser Sand Plover,Birds,Waders,Species,Australia,Endangered,Charadrius mongolus
Eulamprus quoyii,12557,Eulamprus quoyii,Eastern Water Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Eulamprus quoyii
Peltohyas australis,10145,Peltohyas australis,Inland Dotterel,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Peltohyas australis
Corvus mellori,10954,Corvus mellori,Little Raven,Birds,Passerine birds,Species,NotListed,NotListed,Corvus mellori
Corvus coronoides,10930,Corvus coronoides,Australian Raven,Birds,Passerine birds,Species,NotListed,NotListed,Corvus coronoides
Coracina novaehollandiae,10424,Coracina novaehollandiae,Black-faced Cuckoo-shrike,Birds,Passerine birds,Species,NotListed,NotListed,Coracina novaehollandiae
Manorina melanocephala,10634,Manorina melanocephala,Noisy Miner,Birds,Passerine birds,Species,NotListed,NotListed,Manorina melanocephala
Malurus cyaneus,10529,Malurus cyaneus,Superb Fairy-wren,Birds,Passerine birds,Species,NotListed,NotListed,Malurus cyaneus
Phylidonyris novaehollandiae,10631,Phylidonyris novaehollandiae,New Holland Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Phylidonyris novaehollandiae
Ardea pacifica,10189,Ardea pacifica,White-necked Heron,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Ardea pacifica
Vespadelus vulturnus,11379,Vespadelus vulturnus,Little Forest Bat,Mammals,Bats,Species,NotListed,NotListed,Vespadelus vulturnus
Vespadelus regulus,11378,Vespadelus regulus,Southern Forest Bat,Mammals,Bats,Species,NotListed,NotListed,Vespadelus regulus
Anas superciliosa,10208,Anas superciliosa,Pacific Black Duck,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Anas superciliosa
Anas gracilis,10211,Anas gracilis,Grey Teal,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Anas gracilis
Ardea ibis,10977,Ardea ibis,Cattle Egret,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Bubulcus ibis
Tiliqua scincoides,12580,Tiliqua scincoides,Common Blue-tongued Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Tiliqua scincoides
Vespadelus darlingtoni,11381,Vespadelus darlingtoni,Large Forest Bat,Mammals,Bats,Species,NotListed,NotListed,Vespadelus darlingtoni
Phalacrocorax carbo,10096,Phalacrocorax carbo,Great Cormorant,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Phalacrocorax carbo
Tiliqua nigrolutea,12578,Tiliqua nigrolutea,Blotched Blue-tongued Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Tiliqua nigrolutea
Coracina papuensis,10425,Coracina papuensis,White-bellied Cuckoo-shrike,Birds,Passerine birds,Species,NotListed,NotListed,Coracina papuensis
Liopholis whitii GROUP,62430,Liopholis whitii GROUP,White's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Liopholis whitii
Anas castanea,10210,Anas castanea,Chestnut Teal,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Anas castanea
Phalacrocorax sulcirostris,10097,Phalacrocorax sulcirostris,Little Black Cormorant,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Phalacrocorax sulcirostris
Tiliqua rugosa,12583,Tiliqua rugosa,Stumpy-tailed Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Tiliqua rugosa
Corvus tasmanicus,10868,Corvus tasmanicus,Forest Raven,Birds,Passerine birds,Species,NotListed,NotListed,Corvus tasmanicus
Antechinus agilis,11028,Antechinus agilis,Agile Antechinus,Mammals,Mammals,Species,NotListed,NotListed,Antechinus agilis
Phylidonyris albifrons,10594,Phylidonyris albifrons,White-fronted Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Purnella albifrons
Spatula rhynchotis,10212,Spatula rhynchotis,Australasian Shoveler,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Spatula rhynchotis
Phylidonyris melanops,10593,Phylidonyris melanops,Tawny-crowned Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Gliciphila melanops
Antechinus swainsonii,11033,Antechinus swainsonii,Dusky Antechinus,Mammals,Mammals,Species,NotListed,NotListed,Antechinus swainsonii
Manorina melanophrys,10633,Manorina melanophrys,Bell Miner,Birds,Passerine birds,Species,NotListed,NotListed,Manorina melanophrys
Manorina flavigula,10635,Manorina flavigula,Yellow-throated Miner,Birds,Passerine birds,Species,NotListed,NotListed,Manorina flavigula
Delma inornata,12160,Delma inornata,Olive Legless Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Delma inornata
Phylidonyris pyrrhoptera,10630,Phylidonyris pyrrhoptera,Crescent Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Phylidonyris pyrrhopterus
Ramphotyphlops bituberculatus,12588,Ramphotyphlops bituberculatus,Peters's Blind Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Anilios bituberculatus
Calamanthus fuliginosus,10500,Calamanthus fuliginosus,Striated Fieldwren,Birds,Passerine birds,Species,NotListed,NotListed,Calamanthus fuliginosus
Parasuta nigriceps,12724,Parasuta nigriceps,Mitchell's Short-tailed Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Suta nigriceps
Parasuta flagellum,12727,Parasuta flagellum,Little Whip Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Suta flagellum
Calamanthus cautus,10499,Calamanthus cautus,Shy Heathwren,Birds,Passerine birds,Species,NotListed,NotListed,Calamanthus cautus
Delma australis,12154,Delma australis,Southern Legless Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Delma australis
Coracina tenuirostris,10429,Coracina tenuirostris,Common Cicadabird,Birds,Passerine birds,Species,NotListed,NotListed,Edolisoma tenuirostre
Phalacrocorax varius,10099,Phalacrocorax varius,Pied Cormorant,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Phalacrocorax varius
Ramphotyphlops bicolor,12586,Ramphotyphlops bicolor,West Australian Dark-spined Blind Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Anilios bicolor
Uperoleia laevigata,13158,Uperoleia laevigata,Smooth Toadlet,Amphibians,Amphibians,Species,NotListed,NotListed,Uperoleia laevigata
Malurus splendens,10532,Malurus splendens,Splendid Fairy-wren,Birds,Passerine birds,Species,NotListed,NotListed,Malurus splendens
Corvus bennetti,10691,Corvus bennetti,Little Crow,Birds,Passerine birds,Species,NotListed,NotListed,Corvus bennetti
Delma butleri,12167,Delma butleri,Butler's Legless Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Delma butleri
Antechinus flavipes,11027,Antechinus flavipes,Yellow-footed Antechinus,Mammals,Mammals,Species,NotListed,NotListed,Antechinus flavipes
Aprasia inaurita,12143,Aprasia inaurita,Pink-nosed Worm-Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Aprasia inaurita
Vespadelus baverstocki,11819,Vespadelus baverstocki,Inland Forest Bat,Mammals,Bats,Species,NotListed,NotListed,Vespadelus baverstocki
Liopholis inornata,12413,Liopholis inornata,Desert Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Liopholis inornata
Malurus lamberti,10536,Malurus lamberti,Variegated Fairy-wren,Birds,Passerine birds,Species,NotListed,NotListed,Malurus lamberti
Malurus leucopterus,10535,Malurus leucopterus,White-winged Fairy-wren,Birds,Passerine birds,Species,NotListed,NotListed,Malurus leucopterus
Ramphotyphlops nigrescens,12599,Ramphotyphlops nigrescens,Gray's Blind Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Anilios nigrescens
Parasuta dwyeri,12726,Parasuta dwyeri,Dwyer's Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Suta dwyeri
Calamanthus campestris,10502,Calamanthus campestris,Rufous Fieldwren,Birds,Passerine birds,Species,NotListed,NotListed,Calamanthus campestris
Phalacrocorax fuscescens,10098,Phalacrocorax fuscescens,Black-faced Cormorant,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Phalacrocorax fuscescens
Uperoleia tyleri,13931,Uperoleia tyleri,Tyler's Toadlet,Amphibians,Amphibians,Species,NotListed,NotListed,Uperoleia tyleri
Liopholis montana,12433,Liopholis montana,Mountain Skink,Reptiles,Reptiles,Species,Australia,Endangered,Liopholis montana
Tiliqua occipitalis,12579,Tiliqua occipitalis,Western Blue-tongued Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Tiliqua occipitalis
Ramphotyphlops proximus,12603,Ramphotyphlops proximus,Woodland Blind Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Anilios proximus
Pseudemoia pagenstecheri (Volcanic Plains),12993,Pseudemoia pagenstecheri (Volcanic Plains),Tussock Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Pseudemoia pagenstecheri
Pseudemoia rawlinsoni,12683,Pseudemoia rawlinsoni,Glossy Grass Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Pseudemoia rawlinsoni
Ctenotus olympicus,19008,Ctenotus olympicus,Saltbush Striped Skink,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Ctenotus olympicus
Cacatua galerita,10269,Cacatua galerita,Sulphur-crested Cockatoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cacatua galerita
Cracticus tibicen,10705,Cracticus tibicen,Australian Magpie,Birds,Passerine birds,Species,NotListed,NotListed,Gymnorhina tibicen
Chrysococcyx basalis,10342,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Chalcites basalis
Rhipidura leucophrys,10364,Rhipidura leucophrys,Willie Wagtail,Birds,Passerine birds,Species,NotListed,NotListed,Rhipidura leucophrys
Cracticus torquatus,10702,Cracticus torquatus,Grey Butcherbird,Birds,Passerine birds,Species,NotListed,NotListed,Cracticus torquatus
Cacomantis pallidus,10337,Cacomantis pallidus,Pallid Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Heteroscenes pallidus
Anthochaera carunculata,10638,Anthochaera carunculata,Red Wattlebird,Birds,Passerine birds,Species,NotListed,NotListed,Anthochaera carunculata
Crinia signifera,13134,Crinia signifera,Common Froglet,Amphibians,Amphibians,Species,NotListed,NotListed,Crinia signifera
Melithreptus lunatus,10578,Melithreptus lunatus,White-naped Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Melithreptus lunatus
Cacomantis flabelliformis,10338,Cacomantis flabelliformis,Fan-tailed Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cacomantis flabelliformis
Rhipidura albiscapa,10361,Rhipidura albiscapa,Grey Fantail,Birds,Passerine birds,Species,NotListed,NotListed,Rhipidura albiscapa
Cacatua sanguinea,10271,Cacatua sanguinea,Little Corella,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cacatua sanguinea
Cacatua tenuirostris,10272,Cacatua tenuirostris,Long-billed Corella,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cacatua tenuirostris
Accipiter fasciatus,10221,Accipiter fasciatus,Brown Goshawk,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Accipiter fasciatus
Nyctophilus geoffroyi,11335,Nyctophilus geoffroyi,Lesser Long-eared Bat,Mammals,Bats,Species,NotListed,NotListed,Nyctophilus geoffroyi
Tyto javanica,10249,Tyto javanica,Pacific Barn Owl,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Tyto alba
Epthianura albifrons,10448,Epthianura albifrons,White-fronted Chat,Birds,Passerine birds,Species,NotListed,NotListed,Epthianura albifrons
Chrysococcyx lucidus,10344,Chrysococcyx lucidus,Shining Bronze-Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Chalcites lucidus
Egretta novaehollandiae,10188,Egretta novaehollandiae,White-faced Heron,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Egretta novaehollandiae
Glossopsitta concinna,10258,Glossopsitta concinna,Musk Lorikeet,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Glossopsitta concinna
Myiagra inquieta,10369,Myiagra inquieta,Restless Flycatcher,Birds,Passerine birds,Species,NotListed,NotListed,Myiagra inquieta
Accipiter cirrhocephalus,10222,Accipiter cirrhocephalus,Collared Sparrowhawk,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Accipiter cirrocephalus
Melithreptus brevirostris,10583,Melithreptus brevirostris,Brown-headed Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Melithreptus brevirostris
Coturnix pectoralis,10009,Coturnix pectoralis,Stubble Quail,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Coturnix pectoralis
Ninox novaeseelandiae,10242,Ninox novaeseelandiae,Southern Boobook,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Ninox novaeseelandiae
Myiagra cyanoleuca,10366,Myiagra cyanoleuca,Satin Flycatcher,Birds,Passerine birds,Species,NotListed,NotListed,Myiagra cyanoleuca
Climacteris picumnus victoriae,60555,Climacteris picumnus victoriae,Brown Treecreeper (south-eastern ssp.),Birds,Passerine birds,Species,NotListed,NotListed,Climacteris picumnus
Nyctophilus gouldi,11334,Nyctophilus gouldi,Gould's Long-eared Bat,Mammals,Bats,Species,NotListed,NotListed,Nyctophilus gouldi
Turnix varia,10014,Turnix varia,Painted Button-quail,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Turnix varius
Mormopterus sp. 4,11808,Mormopterus sp. 4,Southern Freetail Bat,Mammals,Bats,Species,NotListed,NotListed,Mormopterus planiceps
Lerista bougainvillii,12475,Lerista bougainvillii,Bougainville's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Lerista bougainvillii
Crinia parinsignifera,13131,Crinia parinsignifera,Plains Froglet,Amphibians,Amphibians,Species,NotListed,NotListed,Crinia parinsignifera
Cacomantis variolosus,10339,Cacomantis variolosus,Brush Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cacomantis variolosus
Egernia saxatilis intermedia,62938,Egernia saxatilis intermedia,Black Rock Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Egernia saxatilis
Myiagra rubecula,10365,Myiagra rubecula,Leaden Flycatcher,Birds,Passerine birds,Species,NotListed,NotListed,Myiagra rubecula
Rhipidura rufifrons,10362,Rhipidura rufifrons,Rufous Fantail,Birds,Passerine birds,Species,NotListed,NotListed,Rhipidura rufifrons
Cracticus nigrogularis,10700,Cracticus nigrogularis,Pied Butcherbird,Birds,Passerine birds,Species,NotListed,NotListed,Cracticus nigrogularis
Morethia boulengeri,12526,Morethia boulengeri,Boulenger's Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Morethia boulengeri
Petaurus breviceps,11138,Petaurus breviceps,Sugar Glider,Mammals,Mammals,Species,NotListed,NotListed,Petaurus breviceps
Amphibolurus muricatus,12194,Amphibolurus muricatus,Tree Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Amphibolurus muricatus
Glossopsitta pusilla,10260,Glossopsitta pusilla,Little Lorikeet,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Glossopsitta pusilla
Scotorepens balstoni,11364,Scotorepens balstoni,Inland Broad-nosed Bat,Mammals,Bats,Species,NotListed,NotListed,Scotorepens balstoni
Coturnix ypsilophora australis,10010,Coturnix ypsilophora australis,Brown Quail,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Synoicus ypsilophorus
Diplodactylus vittatus,12077,Diplodactylus vittatus,Wood Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Diplodactylus vittatus
Geopelia striata,10030,Geopelia striata,Peaceful Dove,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Geopelia striata
Mormopterus sp. 2,11839,Mormopterus sp. 2,Eastern Freetail Bat,Mammals,Bats,Species,NotListed,NotListed,Mormopterus norfolkensis
Climacteris erythrops,10560,Climacteris erythrops,Red-browed Treecreeper,Birds,Passerine birds,Species,NotListed,NotListed,Climacteris erythrops
Calyptorhynchus funereus,10267,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Zanda funerea
Gerygone olivacea,10453,Gerygone olivacea,White-throated Gerygone,Birds,Passerine birds,Species,NotListed,NotListed,Gerygone olivacea
Varanus varius,12283,Varanus varius,Lace Monitor,Reptiles,Reptiles,Species,Victoria,Endangered,Varanus varius
Rankinia diemensis,12182,Rankinia diemensis,Mountain Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Rankinia diemensis
Pomatostomus superciliosus,10445,Pomatostomus superciliosus,White-browed Babbler,Birds,Passerine birds,Species,NotListed,NotListed,Pomatostomus superciliosus
Gerygone fusca,10463,Gerygone fusca,Western Gerygone,Birds,Passerine birds,Species,NotListed,NotListed,Gerygone fusca
Porzana fluminea,10049,Porzana fluminea,Australian Spotted Crake,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Porzana fluminea
