"TaxonCode","Name","Sc.Name","FFG.ADV","EPBC","EOO","EsimatedNoIndividuals","PopulationLocations","TrendRangeChanged","Decline.Status","Range","Upper.Males","Upper.Females","Min.Female.Reproductive.Age","Egg.Clutch.Type","Lower","Upper","Mean","Size.class","Mean.1","Inner.Mean","Time.to.hatch","Tail.length","Body.Length","Body.Type","Days.to","Vulnerability.Ranking","AquaticAdult","Burrow","EcologicalBreedingGroup","OccupiesHigherAltitude","Bd_exposure","Gambusia_exposure","HabitatDegradationScore","Specie.group","TaxonGroup"
63935,"Hybrid Geocrinia","Geocrinia laevis X victoriana","U","",1500,3000,2,25,"S",27.5,27,35,2,18,589.6,1814.6,1115.5,3.91666666666667,1.69166666666667,"2.6",10.875,30,10.5,17,160,-4,0,0,"E",0,99.99,99.99,99.99,99,"Frogs2"
13930,"Martin's Toadlet","Uperoleia martini","CE","",3000,3000,3,75,"D",30,33,49.1666666666667,2,9,80,300,200,4,1.8,"2.9",8,41,15.6,18,105,5,0,1,"P",0,99.99,99.99,99.99,99,"Frogs2"
13158,"Smooth Toadlet","Uperoleia laevigata","DD","",45000,75000,10,25,"S",26,28,32,2,9,589.6,1814.6,1115.5,2,1.4,"2",5.5,42.6,15.1,18,105,4,0,1,"EP",0,0.342,0.603,2.797,12,"Frogs2"
13931,"Tyler's Toadlet","Uperoleia tyleri","DD","",50000,7500,15,25,"U",32,33,34,2,9,589.6,1814.6,1115.5,4,1.5,"2.6",5.5,41,15,18,120,4,0,1,"E",0,99.99,99.99,99.99,99,"Frogs2"
63915,"Southern Bullform (south-western form)","Limnodynastes dumerilii variegatus","U","",50000,75000,50,25,"S",58.5,64,65,2,14,1200,4000,2400,4,1.5,"2.8",3.5,80,28,9,165,-4,0,1,"",0,99.99,99.99,99.99,99,"Frogs2"
13120,"Dendy's Toadlet","Pseudophryne dendyi","DD","",65000,7500,30,25,"S",27,30,32,2,18,48,129,80,5,2.2,"6.1",17.5,30,11.6,16,195,9,0,0,"M",0,0.216,0.308,2.069,10,"Frogs2"
63914,"Southern Bullfrog (south-eastern form)","Limnodynastes dumerilii insularis","U","",65000,75000,50,25,"S",53,60,61,2,14,1200,4000,2400,4,1.5,"2.6",3.5,90,32,9,195,-4,0,1,"",0,99.99,99.99,99.99,99,"Frogs2"
13060,"Giant Bullfrog","Limnodynastes interioris","CE","",135000,7500,15,25,"S",70.5,90,88,2.5,14,805,1120,990,4,1.7,"2.3",3.5,93,32,9,240,7,0,1,"EP",0,0.017,0.441,3.283,99,"Frogs2"
13125,"Southern Toadlet","Pseudophryne semimarmorata","V","",135000,7500,25,25,"D",28.5,28,35,2,18,10,475,80,5,2.3,"4.7",51,34,12.5,16,210,6,0,0,"E",0,0.222,0.368,2.935,11,"Frogs2"
13058,"Southern Bullfrog","Limnodynastes dumerilii","U","",135000,75000,50,25,"S",62.5,70,73,2,14,1201,3815,2350,4,1.5,"2.6",3.5,72,25,9,165,-4,0,1,"EP",0,0.185,0.433,2.871,99,"Frogs2"
63913,"Southern Bullfrog (northern form)","Limnodynastes dumerilii dumerilii","U","",135000,75000,50,25,"S",62.5,70,73,2,14,1201,3815,2350,4,1.5,"2.6",3.5,72,25,9,165,-4,0,1,"P",0,99.99,99.99,99.99,99,"Frogs2"
13117,"Brown Toadlet","Pseudophryne bibronii","E","",160000,25500,30,50,"D",27,30,32,2,18,70,140,80,5,2.3,"5.1",21,34,12,16,150,9,0,0,"M",0,0.207,0.462,2.758,4,"Frogs2"
13151,"Rugose Toadlet","Uperoleia rugosa","E","",900000,75000,25,25,"D",29,32,30,2,9,81,352,225,2,1.1,"1.8",4.5,36,16,18,55,7,0,1,"EP",0,0.102,0.406,3.331,99,"Frogs2"
